county,city,total_fatal_crashes,total_injury_crashes,alcohol_involved_fatal,alcohol_involved_injury,pedestriannvolved_fatal,pedestrian_involved_injury,bicyclist_involved_fatal,bicyclist_involved_injury,motorcycle_involved_fatal,motorcycle_involved_injury
,Yucaipa,3,179,1,17,0,12,0,5,0,17
,Yucca Valley,6,46,2,5,1,4,0,6,2,9
,Unincorporated,112,"2,032",24,251,20,52,3,28,13,198
,,34,867,8,127,6,33,2,23,4,92
,,0,0,0,0,0,0,0,0,0,0
,,78,"1,165",16,124,14,19,1,5,9,106
San Diego,,239,"14,084",80,"1,714",90,"1,071",8,689,47,"1,461"
,Carlsbad,4,424,4,51,0,27,0,24,2,33
,Chula Vista,6,839,2,84,2,70,0,40,1,68
,Coronado,0,94,0,7,0,11,0,15,0,12
,Del Mar,1,26,0,4,0,0,0,7,0,2
,El Cajon,13,742,8,75,8,66,0,27,3,39
,Encinitas,3,246,2,41,1,14,0,27,0,27
,Escondido,12,827,2,87,3,41,1,45,0,57
,Imperial Beach,1,44,0,6,1,8,0,7,0,2
,La Mesa,5,326,2,37,1,18,0,10,2,31
,Lemon Grove,2,102,1,22,2,10,0,1,0,6
,National City,6,393,3,46,3,37,0,17,1,41
,Oceanside,5,620,3,89,1,44,0,32,2,50
,Poway,2,82,1,5,0,5,0,5,1,13
,San Diego,84,"6,207",24,737,43,596,6,349,9,722
,San Marcos,3,296,0,41,2,17,0,17,0,21
,Santee,2,54,2,8,1,0,0,1,0,9
,Solana Beach,0,52,0,3,0,0,0,5,0,4
,Vista,9,286,3,53,5,31,0,7,3,26
,Unincorporated,81,"2,424",23,318,17,76,1,53,23,298
,,39,"1,382",13,204,11,68,0,43,12,173
,,0,0,0,0,0,0,0,0,0,0
,,42,"1,042",10,114,6,8,1,10,11,125
San Francisco,,34,"3,926",4,359,19,820,1,567,4,518
,San Francisco,34,"3,926",4,359,19,820,1,567,4,518
San Joaquin,,111,"4,220",31,478,29,219,8,188,15,203
,Escalon,0,22,0,4,0,1,0,2,0,0
,Lathrop,4,143,0,20,1,5,0,3,1,8
,Lodi,3,145,2,20,0,8,0,13,1,6
,Manteca,9,356,2,34,3,18,0,17,2,17
,Ripon,0,45,0,6,0,3,0,1,0,4
